age,dc_key,dispatch_date_time,geometry,hispanic,location_block,neighborhood,police_district,race,sex,time_offset,weapon,year,zip_code
36,201522088154,2015-10-03 23:00:00+00:00,POINT (2691345.54712834 244682.0484172026),1,2100 BLOCK MASTER ST,Sharswood,22.0,White,Male,307839600.0,firearm,2015,19121.0
32,201515097470,2015-10-03 19:00:00+00:00,POINT (2728462.571689888 264272.9436216301),0,4900 BLOCK FRIENDSHIP ST,Tacony,15.0,White,Male,307825200.0,knife,2015,19135.0
17,201514080532,2015-10-03 19:00:00+00:00,POINT (2693167.626376408 265490.5967717926),0,300 BLOCK E WISTER ST,Wister,14.0,Black,Male,307825200.0,firearm,2015,19144.0
52,201539079670,2015-10-03 15:00:00+00:00,POINT (2694627.957310304 257468.0462232256),0,3700 BLOCK N 18TH ST,Tioga,39.0,Black,Female,307810800.0,hands,2015,19140.0
20,201522088045,2015-10-02 23:00:00+00:00,POINT (2689894.895087337 250402.9709980353),0,N 26TH ST / W YORK ST,Strawberry Mansion,22.0,Black,Male,307753200.0,firearm,2015,19132.0
35,201525080608,2015-10-01 18:00:00+00:00,POINT (2701936.660517707 252388.3705317854),1,3000 BLOCK MASCHER ST,Upper Kensington,25.0,White,Male,307648800.0,knife,2015,19133.0
40,201525080174,2015-09-30 23:00:00+00:00,POINT (2701695.167745941 251339.255777749),1,2800 BLOCK MUTTER ST,McGuire,25.0,White,Male,307580400.0,firearm,2015,19133.0
50,201539076804,2015-09-29 16:00:00+00:00,POINT (2692689.881497196 252898.7245955834),0,2000 BLOCK W CAMBRIA,Glenwood,39.0,Black,Male,307468800.0,firearm,2015,19132.0
24,201507028187,2015-09-28 12:00:00+00:00,POINT (2716943.276792148 281957.1566479943),0,800 BLOCK SOLLY AVE,Fox Chase,7.0,White,Female,307368000.0,knife,2015,19111.0
50,201522086009,2015-09-25 00:00:00+00:00,POINT (2690495.395262381 251457.7608727902),0,2600 BLOCK N 25TH ST,Strawberry Mansion,22.0,Black,Male,307065600.0,firearm,2015,19132.0
47,201509041268,2015-09-24 07:00:00+00:00,POINT (2693602.990035675 237034.3329851427),0,100 BLOCK N BROAD ST,Logan Square,9.0,Black,Male,307004400.0,knife,2015,19102.0
44,201502004673,2015-09-23 22:00:00+00:00,POINT (2708535.505042399 266058.4316844109),0,5300 BLOCK TABOR AVE,Lawndale,2.0,Black,Male,306972000.0,knife,2015,19120.0
41,201519097081,2015-09-23 20:00:00+00:00,POINT (2663446.163896909 244021.8667638087),0,7600 BLOCK SHERWOOD RD,Overbrook,19.0,Black,Male,306964800.0,firearm,2015,19151.0
21,201524091952,2015-09-23 11:00:00+00:00,POINT (2705549.42861979 251078.4795534608),0,1800 BLOCK E MONMOUTH ST,Richmond,24.0,Black,Male,306932400.0,firearm,2015,19134.0
